fecha,hora,demanda
30/06/2013,22,284.221
30/06/2013,23,261.594
01/07/2013,0,230.613
01/07/2013,1,209.713
01/07/2013,2,198.68
01/07/2013,3,194.118
01/07/2013,4,193.027
01/07/2013,5,201.05
01/07/2013,6,226.341
01/07/2013,7,244.985
01/07/2013,8,240.119
01/07/2013,9,239.407
01/07/2013,10,236.03
01/07/2013,11,234.98
01/07/2013,12,228.083
01/07/2013,13,217.107
01/07/2013,14,213.451
01/07/2013,15,212.914
01/07/2013,16,220.935
01/07/2013,17,236.353
01/07/2013,18,280.096
01/07/2013,19,306.264
01/07/2013,20,315.029
01/07/2013,21,319.883
01/07/2013,22,312.2
01/07/2013,23,287.167
02/07/2013,0,255.613
02/07/2013,1,230.768
02/07/2013,2,215.594
02/07/2013,3,210.285
02/07/2013,4,207.868
02/07/2013,5,214.287
02/07/2013,6,239.601
02/07/2013,7,253.286
02/07/2013,8,247.409
02/07/2013,9,242.699
02/07/2013,10,235.75
02/07/2013,11,234.041
02/07/2013,12,225.697
02/07/2013,13,217.065
02/07/2013,14,214.356
02/07/2013,15,214.698
02/07/2013,16,224.114
02/07/2013,17,239.186
02/07/2013,18,277.927
02/07/2013,19,305.277
02/07/2013,20,308.259
02/07/2013,21,307.581
02/07/2013,22,298.328
02/07/2013,23,270.593
03/07/2013,0,239.069
03/07/2013,1,215.862
03/07/2013,2,201.831
03/07/2013,3,196.053
03/07/2013,4,194.141
03/07/2013,5,201.046
03/07/2013,6,222.057
03/07/2013,7,238.288
03/07/2013,8,229.203
03/07/2013,9,225.03
03/07/2013,10,221.32
03/07/2013,11,223.749
03/07/2013,12,219.89
03/07/2013,13,212.124
03/07/2013,14,210.869
03/07/2013,15,212.766
03/07/2013,16,222.506
03/07/2013,17,237.232
03/07/2013,18,272.501
03/07/2013,19,292.121
03/07/2013,20,290.15
03/07/2013,21,282.646
03/07/2013,22,268.038
03/07/2013,23,239.489
04/07/2013,0,208.514
04/07/2013,1,186.114
04/07/2013,2,174.146
04/07/2013,3,170.346
04/07/2013,4,168.18
04/07/2013,5,173.48
04/07/2013,6,191.91
04/07/2013,7,205.531
04/07/2013,8,205.796
04/07/2013,9,214.143
04/07/2013,10,219.363
04/07/2013,11,229.45
04/07/2013,12,226.777
04/07/2013,13,221.257
04/07/2013,14,220.404
04/07/2013,15,224.413
04/07/2013,16,238.211
04/07/2013,17,257.449
04/07/2013,18,290.139
04/07/2013,19,302.52
04/07/2013,20,299.329
04/07/2013,21,292.885
04/07/2013,22,273.043
04/07/2013,23,245.437
05/07/2013,0,214.505
05/07/2013,1,195.433
05/07/2013,2,183.777
05/07/2013,3,178.273
05/07/2013,4,177.022
05/07/2013,5,181.702
05/07/2013,6,201.836
05/07/2013,7,217.64
05/07/2013,8,219.92
05/07/2013,9,223.249
05/07/2013,10,231.03
05/07/2013,11,239.468
05/07/2013,12,240.939
05/07/2013,13,235.065
05/07/2013,14,234.62
05/07/2013,15,237.697
05/07/2013,16,248.017
05/07/2013,17,265.641
05/07/2013,18,298.186
05/07/2013,19,309.826
05/07/2013,20,304.976
05/07/2013,21,292.512
05/07/2013,22,275.892
05/07/2013,23,249.842
06/07/2013,0,222.316
06/07/2013,1,203.733
06/07/2013,2,190.844
06/07/2013,3,184.824
06/07/2013,4,182.449
06/07/2013,5,182.951
06/07/2013,6,189.653
06/07/2013,7,197.774
06/07/2013,8,202.765
06/07/2013,9,211.332
06/07/2013,10,217.247
06/07/2013,11,223.529
06/07/2013,12,228.791
06/07/2013,13,230.78
06/07/2013,14,234.443
06/07/2013,15,239.33
06/07/2013,16,247.385
06/07/2013,17,266.409
06/07/2013,18,295.898
06/07/2013,19,300.056
06/07/2013,20,291.247
06/07/2013,21,279.234
06/07/2013,22,258.492
06/07/2013,23,238.004
07/07/2013,0,218.793
07/07/2013,1,199.8
07/07/2013,2,184.774
07/07/2013,3,175.497
07/07/2013,4,169.98
07/07/2013,5,166.045
07/07/2013,6,162.929
07/07/2013,7,163.52
07/07/2013,8,164.219
07/07/2013,9,170.572
07/07/2013,10,180.213
07/07/2013,11,193.745
07/07/2013,12,202.971
07/07/2013,13,197.888
07/07/2013,14,190.167
07/07/2013,15,190.437
07/07/2013,16,198.104
07/07/2013,17,217.273
07/07/2013,18,262.066
07/07/2013,19,277.167
07/07/2013,20,279.118
07/07/2013,21,276.508
07/07/2013,22,268.793
07/07/2013,23,247.161
08/07/2013,0,226.029
08/07/2013,1,207.345
08/07/2013,2,194.671
08/07/2013,3,189.192
08/07/2013,4,186.602
08/07/2013,5,192.011
08/07/2013,6,207.602
08/07/2013,7,220.553
08/07/2013,8,228.996
08/07/2013,9,235.411
08/07/2013,10,236.756
08/07/2013,11,232.697
08/07/2013,12,226.36
08/07/2013,13,221.537
08/07/2013,14,219.928
08/07/2013,15,223.241
08/07/2013,16,231.99
08/07/2013,17,250.225
08/07/2013,18,286.557
08/07/2013,19,306.967
08/07/2013,20,308.335
08/07/2013,21,308.072
08/07/2013,22,298.164
08/07/2013,23,272.888
09/07/2013,0,247.091
09/07/2013,1,224.498
09/07/2013,2,209.491
09/07/2013,3,200.584
09/07/2013,4,197.201
09/07/2013,5,196.111
09/07/2013,6,200.185
09/07/2013,7,204.724
09/07/2013,8,207.272
09/07/2013,9,213.45
09/07/2013,10,215.976
09/07/2013,11,215.421
09/07/2013,12,215.463
09/07/2013,13,212.65
09/07/2013,14,210.253
09/07/2013,15,208.672
09/07/2013,16,215.683
09/07/2013,17,234.346
09/07/2013,18,270.816
09/07/2013,19,288.947
09/07/2013,20,280.792
09/07/2013,21,260.155
09/07/2013,22,265.801
09/07/2013,23,241.599
10/07/2013,0,215.659
10/07/2013,1,196.165
10/07/2013,2,185.921
10/07/2013,3,176.108
10/07/2013,4,177.066
10/07/2013,5,182.847
10/07/2013,6,200.233
10/07/2013,7,213.939
10/07/2013,8,216.142
10/07/2013,9,219.331
10/07/2013,10,220.132
10/07/2013,11,220.011
10/07/2013,12,216.074
10/07/2013,13,213.476
10/07/2013,14,210.504
10/07/2013,15,218.519
10/07/2013,16,229.052
10/07/2013,17,243.558
10/07/2013,18,277.699
10/07/2013,19,296.4
10/07/2013,20,289.978
10/07/2013,21,278.556
10/07/2013,22,264.416
10/07/2013,23,239.587
11/07/2013,0,211.83
11/07/2013,1,189.993
11/07/2013,2,175.981
11/07/2013,3,170.9
11/07/2013,4,169.918
11/07/2013,5,175.083
11/07/2013,6,189.576
11/07/2013,7,203.103
11/07/2013,8,205.702
11/07/2013,9,210.745
11/07/2013,10,213.627
11/07/2013,11,214.641
11/07/2013,12,213.772
11/07/2013,13,211.498
11/07/2013,14,213.98
11/07/2013,15,218.288
11/07/2013,16,230.921
11/07/2013,17,245.493
11/07/2013,18,283.056
11/07/2013,19,297.262
11/07/2013,20,288.921
11/07/2013,21,278.157
11/07/2013,22,261.288
11/07/2013,23,236.85
12/07/2013,0,211.193
12/07/2013,1,191.182
12/07/2013,2,180.028
12/07/2013,3,174.108
